Size(Bytes),MallocTime(ns),FreeTime(ns)
1,285,132
2,47,42
4,51,39
8,51,39
16,54,57
32,48,66
64,53,38
128,51,36
256,52,41
512,78,41
1024,51,39
2048,48,38
4096,7381,87
8192,6038,41
16384,6116,44
32768,6196,42
65536,6049,40
131072,7508,41
262144,5862,40
524288,6068,51
1048576,6956,41
2097152,6437,45
4194304,7793,46
8388608,6297,46
