Size(Bytes),MallocTime(ns),FreeTime(ns)
1,248,196
2,60,50
4,68,30
8,57,29
16,61,29
32,58,28
64,90,65
128,58,37
256,59,45
512,57,34
1024,56,35
2048,3855,47
4096,5338,29
8192,3908,25
16384,3492,29
32768,3594,26
65536,3710,29
131072,3715,35
262144,3494,30
524288,4727,30
1048576,4221,26
2097152,4092,27
4194304,4107,26
8388608,4187,35
