Size(Bytes),MallocTime(ns),FreeTime(ns)
1,162,110
2,47,70
4,55,34
8,48,38
16,76,41
32,50,37
64,49,56
128,50,37
256,49,40
512,49,37
1024,50,38
2048,47,38
4096,7752,93
8192,5851,48
16384,5720,68
32768,5944,40
65536,6685,41
131072,7016,61
262144,5944,40
524288,5651,46
1048576,5687,42
2097152,6571,40
4194304,8117,42
8388608,6250,56
