Size(Bytes),MallocTime(ns),FreeTime(ns)
1,177,160
2,50,38
4,48,39
8,62,37
16,55,45
32,48,61
64,47,36
128,46,39
256,49,37
512,48,41
1024,49,37
2048,48,35
4096,6031,54
8192,5810,47
16384,5884,39
32768,5822,64
65536,5822,41
131072,5814,38
262144,6011,49
524288,6638,42
1048576,5677,41
2097152,6260,48
4194304,6439,44
8388608,6459,40
