Time(ns),Utilization(%)
1782533,94.35
1793142,94.38
1802464,94.42
1805474,94.47
1810608,94.96
1811403,94.61
1820632,94.66
1830254,94.71
1835802,94.90
1844872,94.93
1854121,94.96
1864696,94.99
1871567,95.04
1872481,94.57
1881599,94.61
1882386,93.70
1883156,92.69
1883850,92.30
1889800,93.11
1895032,94.09
1904175,94.15
1913500,94.21
1923079,94.27
1923939,93.65
1933507,93.69
1943896,93.75
1944692,93.38
1945377,92.44
1951450,93.12
1954919,93.38
1960227,93.73
1966337,93.90
1970104,94.14
1975364,94.42
1984898,94.47
1988217,94.53
1988981,94.34
1994820,94.59
2000129,95.02
2009662,95.07
2020652,95.09
2021702,94.08
2028515,94.25
2033631,94.72
2034417,93.69
2035151,93.03
2040910,93.39
2041712,92.79
2042472,91.97
2043147,91.25
2043856,90.29
2050086,90.67
2050900,89.72
2054055,89.75
2059485,90.66
2066026,90.71
2066822,90.48
2070646,90.67
2076207,91.52
2077017,91.16
2083334,91.66
2087094,91.85
2092470,92.50
2101828,92.56
2112766,92.63
2113686,92.12
2114442,91.79
2115172,91.16
2121139,91.56
2127689,91.88
2131188,92.05
2132074,91.25
2137808,91.77
2143570,91.91
2148018,92.68
2157215,92.75
2167017,92.81
2167799,92.25
2168588,91.42
2169325,91.19
2170043,90.99
2173019,91.00
2176794,91.33
2183035,91.43
2188523,92.14
2189342,91.25
2198222,92.06
2204441,92.15
2213907,92.21
2214688,91.33
2220380,92.14
2226713,92.44
2236480,92.51
2242386,92.89
2251997,92.95
2261799,93.01
2262578,92.09
2268630,92.27
2274709,93.04
2275505,92.32
2281834,92.75
2282683,92.13
2283441,92.11
2289183,92.43
2289988,92.05
2290766,91.17
2291519,90.54
2297837,91.30
2298833,90.61
2302907,91.02
2303716,90.69
2313326,90.77
2314079,90.01
2323851,90.09
2328613,90.63
2334637,90.96
2340374,91.52
2341253,91.05
2344585,91.25
2354458,91.33
2355287,91.17
2361720,91.67
2362546,91.54
2367030,91.91
2372970,92.25
2373732,91.39
2379922,91.76
2383747,92.02
2389518,92.34
2396002,92.49
2400561,92.95
2410123,93.01
2411036,92.88
2411787,92.81
2418133,92.88
2427596,92.93
2438418,93.00
2439287,92.81
2450751,92.86
2485684,92.89
2491920,93.22
2501700,93.25
2502478,92.36
2507051,92.79
2513083,93.14
2513850,92.77
2520193,92.96
2529962,93.01
2536053,93.32
2546167,93.37
2557296,93.40
2558121,93.18
2558935,92.50
2569021,92.55
2569839,92.03
2576394,92.37
2586310,92.42
2592426,92.76
2593199,92.12
2599789,92.32
2600513,91.59
2604784,91.93
2610708,92.49
2616244,92.84
2618737,93.25
2628225,93.28
2638013,93.33
2638919,92.98
2650473,93.04
2660391,93.09
2670393,93.14
2673885,93.26
2684045,93.30
2706116,93.47
2716478,93.48
2717235,93.31
2717912,92.56
2724616,92.91
2736237,92.94
2742917,93.31
2743842,92.63
2744731,92.26
2745445,92.03
2755821,92.09
2756636,91.86
2757315,91.73
2758078,91.14
2764911,91.44
2765678,91.06
2766460,90.30
2767157,90.10
2767911,89.35
2768835,88.97
2772055,89.12
2778363,89.71
2779193,89.26
2785682,89.81
2789874,90.07
2794746,90.12
2801091,90.40
2811391,90.45
2812202,90.26
2822633,90.32
2830928,90.73
2831749,90.42
2835130,90.58
2835966,89.91
2842728,90.11
2843672,89.74
2850345,90.38
2861020,90.43
2861931,90.27
2862729,90.12
2863429,89.33
2870246,89.58
2876739,90.21
2880123,90.40
2890342,90.47
2891323,90.35
2901423,90.42
2905209,90.63
2912360,90.69
2923762,90.74
2924503,90.14
2925332,89.59
2928509,89.73
2935446,89.84
2936247,89.45
2943496,89.62
2946942,89.68
2957889,89.74
2965806,89.82
2966780,89.42
2977674,89.49
2985136,89.98
2986077,89.72
2986811,89.01
2987546,88.62
2994537,89.25
3004908,89.31
3005768,88.73
3006566,88.71
3014882,88.93
3015684,88.21
3016410,88.17
3026977,88.26
3031860,88.74
3039019,89.34
3039826,89.21
3046827,89.47
3047710,89.14
3058153,89.22
3063780,89.25
3071283,89.27
3081410,89.33
3087953,89.71
3088737,89.25
3089482,88.67
3096565,88.91
3106895,88.99
3118976,89.05
3126429,89.39
3136758,89.45
3147440,89.52
3158578,89.59
3160268,89.84
3170792,89.91
3171694,89.90
3172421,89.36
3179077,89.85
3189533,89.90
3198040,89.91
3209596,89.97
3220223,90.01
3227688,90.31
3238080,90.37
3239009,90.33
3249598,90.39
3257142,90.49
3257939,90.24
3265158,90.56
3266064,90.37
3266695,90.14
3272723,90.52
3279544,90.88
3280397,90.85
3288028,90.87
3291496,91.08
3303453,91.13
3304306,90.55
3305017,90.05
3312023,90.65
3315275,90.79
3325899,90.85
3333875,90.99
3338049,91.27
3338897,91.13
3349584,91.16
3350437,90.69
3351268,90.17
3352055,89.63
3352775,89.07
3360664,89.10
3365460,89.41
3372969,89.60
3380031,89.99
3383310,90.07
3384191,89.45
3384978,88.88
3385700,88.78
3393001,89.28
3401838,89.32
3412515,89.38
3418095,89.43
3418867,89.15
3419674,88.82
3427431,88.90
3431671,89.38
3432442,88.81
3433249,88.44
3440000,88.97
3446762,89.49
3449935,89.76
3456676,90.14
3457584,89.86
3468365,89.92
3469206,89.83
3469937,89.54
3473531,89.88
3484697,89.94
3485504,89.71
3486267,89.05
3486961,89.03
3494436,89.40
3506524,89.47
3507279,89.27
3508035,89.13
3515284,89.40
3516128,88.88
3526842,88.95
3527650,88.84
3528560,88.25
3529266,87.71
3530073,87.10
3534333,87.44
3535157,86.83
3542202,87.41
3548990,87.85
3549858,87.45
3550548,87.05
3553843,87.19
3559494,87.22
3566734,87.54
3569983,87.59
3575261,87.79
3582543,87.90
3586855,88.33
3587655,88.02
3594458,88.21
3601904,88.72
3607019,88.92
3607800,88.66
3608552,88.34
3615520,88.75
3623662,88.82
3624479,88.78
3627900,88.93
3635004,89.24
3642381,89.49
3643140,89.47
3646256,89.55
3653320,89.84
3654100,89.20
3661225,89.65
3662038,89.39
3665411,89.46
3673350,89.63
3681312,90.13
3682266,90.19
3682955,89.58
3690721,89.63
3691795,89.43
3702895,89.50
3709920,90.07
3710854,89.85
3718708,89.88
3719489,89.37
3720172,88.93
3728277,89.11
3731504,89.15
3739026,89.35
3747025,89.52
3750103,89.53
3757885,89.62
3758684,89.38
3765902,89.69
3769184,89.82
3780737,89.88
3792154,89.94
3793120,89.58
3805479,89.64
3816827,89.70
3828056,89.75
3829146,89.44
3840277,89.51
3841056,88.99
3841814,88.95
3842527,88.33
3849742,88.81
3850522,88.69
3851230,88.50
3858917,89.09
3862518,89.37
3870145,89.53
3870914,89.34
3882153,89.38
3886180,89.61
3898718,89.66
3909806,89.71
3910605,89.34
3913539,89.34
3914292,88.75
3922098,89.17
3929170,89.48
3930027,89.38
3932995,89.40
3944251,89.45
3952884,89.51
3956463,89.70
3963497,90.03
3964304,89.78
3975926,89.84
3989257,89.90
3990069,89.88
4001326,89.93
4013143,89.98
4014097,89.51
4014885,88.99
4019414,89.21
4026483,89.64
4037597,89.70
4048857,89.76
4056710,89.89
4063713,90.38
4125948,90.43
4126938,90.39
4140093,90.44
4151736,90.48
4155654,90.65
4156411,90.05
4164119,90.51
