Size(Bytes),MallocTime(ns),FreeTime(ns)
1,150,88
2,50,37
4,64,37
8,49,38
16,45,38
32,48,37
64,49,38
128,46,35
256,68,38
512,47,64
1024,44,37
2048,46,36
4096,5911,104
8192,5757,42
16384,5579,43
32768,5600,47
65536,6969,47
131072,5793,54
262144,5653,47
524288,9498,44
1048576,5827,36
2097152,7449,55
4194304,6206,44
8388608,6140,46
