Size(Bytes),MallocTime(ns),FreeTime(ns)
1,163,130
2,47,38
4,48,36
8,48,57
16,73,40
32,45,37
64,47,40
128,49,72
256,48,36
512,44,59
1024,51,54
2048,47,36
4096,7468,74
8192,6005,42
16384,5742,41
32768,5774,59
65536,5825,36
131072,7130,38
262144,6020,40
524288,6563,39
1048576,5920,50
2097152,6142,45
4194304,7742,39
8388608,6295,62
