Size(Bytes),MallocTime(ns),FreeTime(ns)
1,194,190
2,46,37
4,58,36
8,48,35
16,43,36
32,44,38
64,44,39
128,48,38
256,42,38
512,44,34
1024,40,42
2048,45,37
4096,5882,95
8192,6143,40
16384,5656,55
32768,5711,38
65536,6036,66
131072,5675,40
262144,5771,45
524288,8761,53
1048576,6198,42
2097152,6261,53
4194304,6515,39
8388608,6687,51
