Size(Bytes),MallocTime(ns),FreeTime(ns)
1,250,94
2,61,35
4,58,35
8,47,53
16,45,36
32,48,35
64,49,38
128,46,35
256,43,34
512,45,36
1024,44,40
2048,43,38
4096,6040,76
8192,5670,37
16384,6068,39
32768,5614,44
65536,5701,38
131072,5543,37
262144,5738,38
524288,5813,40
1048576,6291,43
2097152,6049,40
4194304,6130,39
8388608,6152,44
