Time(ns),Utilization(%)
2094841,96.38
2095849,95.97
2096671,95.56
2097372,95.50
2098112,94.86
2098786,94.39
2099506,93.44
2105382,93.83
2111887,94.44
2112676,93.63
2118443,93.98
2123992,94.32
2133789,94.38
2139698,95.15
2149780,95.20
2159612,95.25
2165591,95.48
2166360,94.63
2171865,95.49
2178189,95.49
2178917,94.59
2189844,94.64
2196544,95.18
2203714,95.29
2204504,94.41
2205249,93.83
2211475,94.72
2217311,95.53
2226899,95.56
2227833,95.40
2228632,94.47
2238185,94.52
2239000,94.06
2245878,94.31
2252631,95.11
2262610,95.14
2270033,95.33
2270851,94.79
2280696,94.83
2286629,95.34
2287428,95.21
2288206,94.55
2288913,94.40
2298788,94.45
2304917,95.11
2309221,95.12
2309973,94.61
2310728,94.35
2311458,93.96
2312210,93.59
2317833,93.97
2318626,93.70
2319340,93.19
2328892,93.25
2335263,93.50
2344998,93.54
2355298,93.59
2366848,93.63
2367623,93.03
2373746,93.50
2374520,93.26
2380912,93.58
2386802,94.09
2396518,94.13
2403003,94.40
2403847,93.52
2409856,93.75
2410600,93.48
2416388,93.99
2422659,94.03
2428545,94.18
2434420,94.91
2440424,95.25
2441262,94.78
2441991,94.77
2447824,95.31
2455701,95.44
2462307,96.29
2472405,96.32
2479910,96.33
2489780,96.35
2500199,96.37
2501165,95.88
2507653,96.06
2508529,95.84
2514413,96.30
2524478,96.33
2530780,96.57
2531608,96.17
2538041,96.52
2544256,96.74
2545142,95.91
2553021,96.51
2554012,95.68
2560661,96.04
2567855,96.75
2574399,96.81
2584582,96.83
2589119,96.91
2592655,97.03
2593390,96.87
2594078,96.31
2600644,96.79
2610875,96.81
2624426,96.82
2635518,96.83
2636438,96.13
2643099,96.29
2650062,96.78
2662111,96.80
2669149,97.05
2669993,96.48
2677178,96.49
2684367,96.91
2694796,96.92
2695625,96.67
2702143,96.98
2702932,96.61
2709922,96.84
2716406,96.93
2726681,96.94
2727554,96.63
2734728,96.64
2735509,96.04
2741739,96.32
2748022,96.48
2748781,95.93
2756356,96.35
2757133,95.99
2757850,95.39
2764087,95.64
2770713,96.21
2777350,96.76
2787719,96.77
2788491,96.43
2799558,96.45
2810300,96.47
2820970,96.49
2832206,96.52
2839613,96.55
2851376,96.57
2852174,96.45
2852919,96.23
2863599,96.24
2870629,96.39
2882370,96.42
2883216,96.26
2883937,95.47
2891411,95.52
2898556,96.10
2909285,96.12
2910142,95.33
2917874,95.83
2918621,95.56
2929537,95.58
2935251,95.60
2947203,95.62
2952422,95.65
2958839,95.82
2969338,95.85
2970383,95.21
2971158,94.79
2971868,94.34
2979074,95.06
2990679,95.09
2991512,94.98
2998527,95.43
2999397,95.13
3006413,95.47
3013518,95.60
3020201,95.90
3021045,95.71
3022019,95.30
3028806,95.66
3035729,95.72
3036534,95.23
3064963,95.26
3065812,94.87
3066510,94.81
3067366,94.11
3074760,94.25
3085846,94.29
3086702,93.85
3087449,93.81
3088152,93.79
3095305,94.45
3106057,94.48
3113124,94.91
3118121,94.94
3124463,95.08
3131201,95.16
3132059,94.56
3132737,94.35
3143840,94.39
3151182,94.54
3158175,94.65
3166608,94.93
3173998,95.43
3179479,95.43
3186243,95.46
3197926,95.48
3203766,95.49
3204545,95.48
3211273,95.81
3222535,95.83
3229705,96.26
3230509,95.84
3237679,96.05
3248841,96.08
3260262,96.10
3267634,96.30
3275982,96.50
3283105,96.87
3290744,97.17
3311457,97.19
3319432,97.53
3320320,97.05
3328065,97.06
3335853,97.52
3347211,97.54
3348059,97.07
3348756,96.66
3356227,96.77
3363733,96.79
3364475,96.12
3371713,96.53
3378764,97.22
3386636,97.42
3387487,97.01
3388259,96.74
3401431,96.76
3413230,96.78
3414073,96.15
3414808,95.91
3422920,96.06
3430947,96.51
3431791,96.05
3443105,96.08
3454629,96.10
3466181,96.12
3473937,96.28
3481270,96.35
3488547,96.52
3489307,96.13
3490069,95.83
3502893,95.86
3510805,96.09
3511633,95.42
3518985,96.02
3530252,96.04
3541774,96.07
3542605,95.63
3548802,95.63
3555762,95.74
3566834,95.77
3578442,95.80
3579402,95.52
3587670,95.53
3588423,94.89
3596437,95.36
3605513,95.65
3613384,95.75
3628225,95.77
3629058,95.74
3640954,95.77
3649335,96.04
3661109,96.06
3668970,96.23
3676710,96.57
3688451,96.59
3693949,96.69
3701139,96.94
3713951,96.96
3723078,97.33
3728904,97.39
3729768,96.71
3730511,96.67
3737737,97.26
3745685,97.30
3746530,96.63
3754743,97.20
3762375,97.60
3773959,97.60
3774771,97.10
3775548,96.88
3783434,97.35
3784234,97.22
3796049,97.24
3802049,97.26
3808957,97.39
3809762,96.76
3817703,97.23
3818517,97.23
3819295,97.13
3820064,96.72
3828272,96.77
3836108,96.92
3845305,97.30
3857236,97.32
3869186,97.32
3881300,97.33
3893195,97.34
3901162,97.48
3913040,97.49
3925173,97.50
3938595,97.50
3939429,97.41
3940241,97.37
3940983,97.19
3941690,97.07
3953668,97.09
3954574,96.47
3955326,96.40
3964113,96.97
3976049,96.99
3988199,97.01
4000326,97.03
4001151,96.58
4009680,96.84
4010490,96.39
4019017,96.71
4031083,96.72
4032018,96.14
4040387,96.68
4049945,96.76
4061943,96.77
4074075,96.79
4086081,96.79
4098275,96.81
4099139,96.56
4110991,96.57
4123191,96.58
4135397,96.60
4136392,96.38
4143843,96.39
4154013,96.47
4166278,96.49
4178710,96.50
4179606,96.33
4187907,96.46
4188671,95.99
4200715,96.01
4210605,96.08
4219003,96.51
4219853,95.96
4220591,95.51
4228657,95.66
