Size(Bytes),MallocTime(ns),FreeTime(ns)
1,111,100
2,45,42
4,51,40
8,49,33
16,44,34
32,43,35
64,42,39
128,45,34
256,46,37
512,49,32
1024,40,58
2048,45,33
4096,7358,69
8192,5742,36
16384,5681,37
32768,5536,40
65536,5358,37
131072,6704,40
262144,5474,38
524288,5727,37
1048576,6124,40
2097152,5854,36
4194304,7251,38
8388608,6098,55
